CREDORA;DEVEDORA;CICLO REFERÊNCIA;PERÍODO DE TRÁFEGO;POI;TIPO RELATÓRIO;REMUNERACAO;DESCRITOR;GH;CHAMADAS;DURAÇÃO;TARIFA;VALOR LÍQUIDO;PIS/COFINS;VALOR ICMS;TOTAL(R$);TOTAL_REAL (R$);OPERATION TYPE;EOT
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;N;25941;90954,9;0,00605;550,28;20,84;0;571,12;;F;082
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;N;3274;4227,9;0,00605;25,58;0,97;0;26,55;;F;021
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;R;3;7,4;0,00423;0,03;0;0;0,03;;F;227
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;N;576029;2778420,7;0,00605;16809,44;636,79;0;17446,23;;F;081
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;R;62322;238037,8;0,00423;1006,91;38,15;0;1045,06;;F;081
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;R;13;30,7;0,00423;0,13;0;0;0,13;;F;221
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;R;18;40,8;0,00425;0,18;0;0;0,18;;F;261
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;N;156730;653493;0,00608;3973,23;150,51;0;4123,74;;F;062
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;N;206;472,4;0,00605;2,85;0,11;0;2,96;;F;298
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TNENL;R;470;1879,1;0,00425;7,97;0,3;0;8,27;;F;061
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;N;2473;10611;0,00605;64,19;2,43;0;66,62;;F;271
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;R;77;239,9;0,00441;1,06;0,04;0;1,1;;F;035
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;N;206;217;0,00608;1,33;0,05;0;1,38;;F;047
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RIU-F;TLENI;N;221;518,5;0,01275;6,62;0,25;0;6,87;;F;298
621;011;202607;202607;DAT.FIX.FX;00;TU-TX-RL;TLENL;R;514;834,8;0,00425;3,54;0,15;0;3,69;;F;192
