CREDORA;DEVEDORA;REFERENCIA;PERIODO_TRAFEGO;POI;TIPO_RELATORIO;DESCRITOR;GRUPO_HORARIO;CHAMADAS;MINUTOS;TARIFA;VALOR_LIQUIDO;VALOR_PIS_COFINS;VALOR_ICMS;VALOR_TOTAL;
034;033;202607;202607;MERVIV02;00;SENS;R;4;0,0;0,05000;0,20;0,01;0,00;0,21;
034;033;202607;;;01;;;27;0,00;;1,35;0,05;0,00;1,40;
034;036;202607;202607;MERVIV02;00;SENS;N;12;0,0;0,05000;0,60;0,02;0,00;0,62;
034;036;202607;;;01;;;12;0,00;;0,60;0,02;0,00;0,62;
034;037;202607;202607;MERVIV01;00;SENS;N;14;0,0;0,05000;0,70;0,03;0,00;0,73;
034;037;202607;202607;MERVIV01;00;SENS;R;1;0,0;0,05000;0,05;0,00;0,00;0,05;
034;037;202607;202607;MERVIV02;00;SENS;N;143;0,0;0,05000;7,15;0,27;0,00;7,42;
034;037;202607;202607;MERVIV02;00;SENS;N;16;0,0;0,05000;0,80;0,03;0,00;0,83;
034;037;202607;202607;MERVIV02;00;SENS;R;39;0,0;0,05000;1,95;0,07;0,00;2,02;
034;037;202607;202607;MERVIV02;00;SENS;R;2;0,0;0,05000;0,10;0,00;0,00;0,10;
034;037;202607;;;01;;;215;0,00;;10,75;0,40;0,00;11,15;
034;038;202607;202607;MERVIV02;00;SENS;N;11;0,0;0,05000;0,55;0,02;0,00;0,57;
034;038;202607;202607;MERVIV02;00;SENS;R;20;0,0;0,05000;1,00;0,04;0,00;1,04;
034;038;202607;;;01;;;31;0,00;;1,55;0,06;0,00;1,61;
034;039;202607;202607;MERVIV01;00;SENS;N;4;0,0;0,05000;0,20;0,01;0,00;0,21;
034;039;202607;202607;MERVIV02;00;SENS;N;60;0,0;0,05000;3,00;0,11;0,00;3,11;
034;039;202607;202607;MERVIV02;00;SENS;N;18;0,0;0,05000;0,90;0,03;0,00;0,93;
034;039;202607;202607;MERVIV02;00;SENS;R;77;0,0;0,05000;3,85;0,15;0,00;4,00;
034;039;202607;;;01;;;159;0,00;;7,95;0,30;0,00;8,25;
034;044;202607;202607;MERVIV01;00;SENS;N;8;0,0;0,05000;0,40;0,02;0,00;0,42;
034;044;202607;202607;MERVIV01;00;SENS;N;1;0,0;0,05000;0,05;0,00;0,00;0,05;
034;044;202607;202607;MERVIV01;00;SENS;R;1;0,0;0,05000;0,05;0,00;0,00;0,05;
034;044;202607;202607;MERVIV02;00;SENS;N;64;0,0;0,05000;3,20;0,12;0,00;3,32;
034;044;202607;202607;MERVIV02;00;SENS;N;14;0,0;0,05000;0,70;0,03;0,00;0,73;
034;044;202607;202607;MERVIV02;00;SENS;R;48;0,0;0,05000;2,40;0,09;0,00;2,49;
034;044;202607;202607;MERVIV02;00;SENS;R;4;0,0;0,05000;0,20;0,01;0,00;0,21;
